0x0B00;id
0x232F;current_region
0x242F;water
0x4E2F;equipment
0x4F2F;need
0x502F;division_template
0x592F;buildings
0x5A2F;equipments
0x712F;field_marshal
0x7C2F;victory_points
0x8A2F;motorized
0x8D2F;submarine
0x8F2F;carrier
0x952F;deployment
0x9C2F;support
0xA32F;regiments
0xA42F;recon
0xAA2F;units
0xAB2F;infrastructure
0xAC2F;produced
0xAE2F;queued_factories
0xB02F;military_lines
0xB12F;military_lines
0xB42F;production
0xB52F;air_wings
0xB62F;air_base
0xB92F;theatres
0xBF2F;fighter
0xC02F;tac_bomber
0xD72F;strategic_air
0xD82F;air_wing_pool
0xDF2F;last_combat_date
0xE02F;destroyer
0xE32F;definition
0xE82F;available
0xEF2F;ideas
0xF52F;expire
0xF62F;traits
0xF72F;popularity
0xF82F;parties
0xF92F;election_frequency
0xFA2F;politics
0x0730;banned
0x0830;ruling_party
0x0B30;elections_allowed
0x1E30;political_power
0x3130;max_elements
0x3230;is_full
0x3430;history_queue
0x3530;country_leader
0x3630;order_index
0x4730;in_progress
0x6230;convoys
0x6430;resource
0x6930;upgrades
0x6A30;max_version
0x6C30;obsolete
0x6D30;creator
0x9130;capacity
0x9230;operational_status
0x9330;capacity_penalty
0xAD30;available_equipments
0xB030;instances_counter
0xB730;navy_leader
0xB830;gfx
0xB930;origin
0xBB30;from_state
0xBC30;to_state
0xBD30;from_port
0xBE30;to_port
0xBF30;delivery_route
0xC030;destination
0xC130;required
0xC230;imported
0xC330;to_use
0xC430;to_export
0xC530;exported
0xC630;export
0xC730;consumed
0xC930;delivered
0xCA30;required_convoys
0xCB30;naval_path
0xCC30;supply_system
0xD130;puppet
0xD930;pinned_theatres
0x0031;ai_strategy
0x1931;occupation_policy
0x4131;reinforcement
0x4231;division_template_id
0x4531;request
0x7A31;can_declare_war_on_same_ideology
0x7B31;rules
0xDE31;points
0xE231;ace
0xE331;surname
0xE431;callsign
0xE531;portrait
0xE631;modifiers
0xE931;missions_done
0xF631;naval_base
0xE132;resistance
0xFB32;portrait_path
0x1D33;wargoals
0x1F33;can_force_government
0x2533;section
0x4033;id_counter
0x4133;sorted_pairs
0x6033;claims
0x6133;cores
0x8233;attacker_wargoals
0xAE33;requests
0xB733;focus
0xB833;focus_tree
0xE133;demilitarized
0xE633;next_bonus_id
0xEF33;is_border_conflict
0x0334;can_send_volunteers
0x1034;logical_country
0x1E34;external_rules
0x2C34;can_puppet
0x2E34;navy_engagement_rule
0x2F34;navy_engagement_rule_reset
0x3934;division_templates
0x4034;wargoaldata_actor
0x4134;wargoaldata_recipient
0x4F34;faction_trade_opinion_factor
0x5234;casualties
0x8334;days_until_next_rebuild_access_list
0x8434;dirty
0x8534;days_to_need_update
0x9334;required_cic
0x9534;refresh
0x9834;original_capital
0x9D34;save_version
0xA334;land_path
0xA434;delivery_routes
0xA534;navy_id
0xA634;land_combat_id
0xB334;military_deployment_line_index
0xB434;military_deployment_conveyor_index
0xB734;can_lower_tension
0xC734;corps_commander
0xCD34;nukes
0xE234;field_marshal
0xE834;enemies
0xE934;strategic_navy
0xEB34;long_name
0xED34;template_counter
0xFA34;dig_in_cap
0x1935;repair_mode
0x2D35;extra_shared_slots
0x5135;original_tag
0x5835;allow_new_equipment
0x6735;player_countries
0x7B35;initial_carrier_air_wing_deployment
0x8135;can_only_justify_war_on_threat_country
0x9335;hostile_status
0x9935;irrationality
0xA935;game_unique_seed
0xAD35;front_index
0xAE35;theatre_index
0xB335;factory_efficiencies
0xBF35;num_ships
0xC635;can_guarantee_other_ideologies
0xC935;requested_factories
0xCA35;lended_cic
0xCE35;active_factories
0xD235;theater_group_index
0xE135;pending_events
0xE535;interpolated_efficiency
0xE635;path_efficiency
0xE735;efficiency
0xEE35;mountaineers
0xEF35;marines
0xFB35;per_country_section
0x0136;data_size
0x0B36;truce_until
0x1836;state_category
0x1D36;original_research_slots
0x3536;manpower_pool
0x3D36;average_major_ic
0x3E36;is_top_ic_country
0x4336;equipment_variant_index
0x5036;tech_mountaineers
0x5936;tension_scaling_base_country
0x8236;session
0x8E36;logistics
